sample,input,filtered,denoisedF,denoisedR,merged,nosingletons,nochimeras,percent_singletons,percent_chimeras,percent_retained_of_total
tdna045-Rep3-MiFish-U_S156_L001_R1_001.fastq.gz,93210,89006,88945,87656,85943,85860,80554,0.096575637,6.179827626,86.42205772
tdna046-Rep1-MiFish-U_S45_L001_R1_001.fastq.gz,62460,59134,59074,58405,58370,58325,53228,0.077094398,8.738962709,85.21934038
tdna046-Rep2-MiFish-U_S101_L001_R1_001.fastq.gz,71887,68115,67995,67306,65593,65494,53852,0.15093074,17.77567411,74.91201469
tdna046-Rep3-MiFish-U_S157_L001_R1_001.fastq.gz,91729,87731,87391,86493,85175,85111,77859,0.075139419,8.520637755,84.87937294
tdna047-Rep1-MiFish-U_S46_L001_R1_001.fastq.gz,90257,84073,83780,83017,81826,81791,67508,0.042773691,17.46280153,74.79530674
tdna047-Rep2-MiFish-U_S102_L001_R1_001.fastq.gz,110138,104398,104281,103545,101830,101628,85676,0.198369832,15.69646161,77.78968204
tdna047-Rep3-MiFish-U_S158_L001_R1_001.fastq.gz,94682,90466,90342,89695,88185,87823,81523,0.410500652,7.173519465,86.10189899
tdna048-Rep1-MiFish-U_S47_L001_R1_001.fastq.gz,69107,65617,65452,65243,62831,62751,27383,0.127325683,56.36244841,39.62406124
tdna048-Rep2-MiFish-U_S103_L001_R1_001.fastq.gz,93743,88945,88546,88762,87083,87083,81106,0,6.863566942,86.51952679
tdna048-Rep3-MiFish-U_S159_L001_R1_001.fastq.gz,77780,74303,74241,74163,73991,73987,70699,0.005406063,4.44402395,90.89611725
tdna049-Rep1-MiFish-U_S48_L001_R1_001.fastq.gz,79228,75608,75532,74795,72647,72565,58699,0.112874585,19.10838559,74.08870601
tdna049-Rep2-MiFish-U_S104_L001_R1_001.fastq.gz,63654,60550,60437,59958,58902,58862,49776,0.067909409,15.43610479,78.19775662
tdna049-Rep3-MiFish-U_S160_L001_R1_001.fastq.gz,32861,31314,31269,31028,30685,30685,27684,0,9.780022812,84.24576245
tdna050-Rep1-MiFish-U_S49_L001_R1_001.fastq.gz,83413,78394,78242,77413,76889,76686,62586,0.26401696,18.38666771,75.03146991
tdna050-Rep2-MiFish-U_S105_L001_R1_001.fastq.gz,82312,78004,77879,77299,75685,75593,63012,0.121556451,16.64307542,76.55262902
tdna050-Rep3-MiFish-U_S161_L001_R1_001.fastq.gz,77241,73679,73620,73005,72671,72626,64297,0.061922913,11.46834467,83.24206056
tdna051-Rep1-MiFish-U_S50_L001_R1_001.fastq.gz,60465,56683,56495,56087,55464,55358,44154,0.191114957,20.23917049,73.02406351
tdna051-Rep2-MiFish-U_S106_L001_R1_001.fastq.gz,94138,88752,88552,87793,86501,86414,74139,0.100576872,14.20487421,78.75565659
tdna051-Rep3-MiFish-U_S162_L001_R1_001.fastq.gz,62483,58890,58777,58240,57081,56983,48601,0.17168585,14.70965025,77.78275691
tdna052-Rep1-MiFish-U_S51_L001_R1_001.fastq.gz,71884,68467,68312,67781,67291,67271,55012,0.029721657,18.22330573,76.52885204
tdna052-Rep2-MiFish-U_S107_L001_R1_001.fastq.gz,82493,78187,78081,77336,76189,75931,61577,0.338631561,18.90400495,74.6451214
tdna052-Rep3-MiFish-U_S163_L001_R1_001.fastq.gz,65111,61758,61473,61072,60558,60558,52204,0,13.79503947,80.17692863
tdna053-Rep1-MiFish-U_S52_L001_R1_001.fastq.gz,90540,85052,84939,84318,82897,82897,66839,0,19.3710267,73.82261984
tdna053-Rep2-MiFish-U_S108_L001_R1_001.fastq.gz,81847,77868,77698,76968,76052,76052,65444,0,13.94835113,79.95894779
tdna053-Rep3-MiFish-U_S164_L001_R1_001.fastq.gz,68452,65080,64938,64290,61310,61298,58429,0.019572664,4.680413717,85.35762286
tdna054-Rep1-MiFish-U_S53_L001_R1_001.fastq.gz,98363,93385,92531,92487,90043,89859,67796,0.204346812,24.55291067,68.92429064
tdna054-Rep2-MiFish-U_S109_L001_R1_001.fastq.gz,93401,89129,88800,88193,86737,86431,69971,0.35279062,19.04409298,74.91461548
tdna054-Rep3-MiFish-U_S165_L001_R1_001.fastq.gz,68576,65666,65544,64869,63409,63244,53904,0.260215427,14.76819935,78.60475968
tdna055-Rep1-MiFish-U_S54_L001_R1_001.fastq.gz,92544,85491,85301,84040,82185,82033,72437,0.184948592,11.6977314,78.27303769
tdna055-Rep2-MiFish-U_S110_L001_R1_001.fastq.gz,91934,87142,87093,86894,85153,85138,75990,0.017615351,10.74490827,82.65712359
tdna055-Rep3-MiFish-U_S166_L001_R1_001.fastq.gz,94284,89371,89315,89154,87345,87266,83598,0.090445933,4.203240666,88.66615757
tdna056-Rep1-MiFish-U_S55_L001_R1_001.fastq.gz,66286,62656,62498,62124,60762,60636,47775,0.207366446,21.21017217,72.07404278
tdna056-Rep2-MiFish-U_S111_L001_R1_001.fastq.gz,81027,77801,77639,76997,75649,75530,60541,0.15730545,19.84509466,74.71706962
tdna056-Rep3-MiFish-U_S167_L001_R1_001.fastq.gz,133268,128068,127925,127053,125130,124781,107062,0.278909934,14.20007854,80.33586457
tdna057-Rep1-MiFish-U_S56_L001_R1_001.fastq.gz,68650,64522,64379,63722,62680,62634,49734,0.073388641,20.59584251,72.44573926
tdna057-Rep2-MiFish-U_S112_L001_R1_001.fastq.gz,76627,72919,72445,72008,70510,70284,56411,0.320521912,19.73848956,73.61765435
tdna057-Rep3-MiFish-U_S168_L001_R1_001.fastq.gz,52819,50394,50273,49829,49184,49128,40871,0.113858165,16.8071161,77.37935213
