kingdom,phylum,order,family,genus,species,old_species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,ids
Animalia,Chordata,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,1,44,587,4269,2389233,2389234,NA,NA,Cymatogaster aggregata
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,Oncorhynchus kisutch,1,44,1313,8615,2351426,5204034,NA,NA,Oncorhynchus kisutch
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,Microstomus pacificus,1,44,588,8611,2409352,5214028,NA,NA,Microstomus pacificus
Animalia,Chordata,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus,Ammodytes personatus,1,44,587,8487,2389989,2389997,NA,NA,Ammodytes personatus
Animalia,Chordata,Perciformes,Ammodytidae,Ammodytes,Ammodytes japonicus,Ammodytes japonicus,1,44,587,8487,2389989,8995137,NA,NA,Ammodytes japonicus
Animalia,Chordata,Perciformes,Ammodytidae,Hyperoplus,Hyperoplus immaculatus,Hyperoplus immaculatus,1,44,587,8487,2390011,2390012,NA,NA,Hyperoplus immaculatus
Animalia,Chordata,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei,Hydrolagus colliei,1,44,880,2181,2417351,5215461,Holocephali,120,Hydrolagus colliei
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Lyopsetta,Lyopsetta exilis,Lyopsetta exilis,1,44,588,8611,2409225,2409226,NA,NA,Lyopsetta exilis
Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis laeta,Pholis laeta,1,44,587,8576,2390397,5210424,NA,NA,Pholis laeta
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,Gadus macrocephalus,1,44,549,3701,2335052,2415853,NA,NA,Gadus macrocephalus
Animalia,Chordata,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,Gadus ogac,1,44,549,3701,2335052,2415853,NA,NA,Gadus ogac
Animalia,Chordata,Scorpaeniformes,Cottidae,Artedius,Artedius lateralis,Artedius lateralis,1,44,590,8621,2333960,2333966,NA,NA,Artedius lateralis
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastolobus,Sebastolobus macrochir,Sebastolobus macrochir,1,44,590,8633,2335321,2335324,NA,NA,Sebastolobus macrochir
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastolobus,Sebastolobus alascanus,Sebastolobus alascanus,1,44,590,8633,2335321,2335323,NA,NA,Sebastolobus alascanus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastolobus,Sebastolobus altivelis,Sebastolobus altivelis,1,44,590,8633,2335321,2335322,NA,NA,Sebastolobus altivelis
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastiscus,Sebastiscus marmoratus,Sebastiscus marmoratus,1,44,590,8633,2335354,2335355,NA,NA,Sebastiscus marmoratus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes diploproa,Sebastes diploproa,1,44,590,8633,2333712,2335406,NA,NA,Sebastes diploproa
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanosema,Sebastes melanosema,1,44,590,8633,2333712,2335529,NA,NA,Sebastes melanosema
Animalia,Chordata,Perciformes,Stichaeidae,Eumesogrammus,Eumesogrammus praecisus,Eumesogrammus praecisus,1,44,587,8598,2394919,2394920,NA,NA,Eumesogrammus praecisus
Animalia,Chordata,Perciformes,Stichaeidae,Ulvaria,Ulvaria subbifurcata,Ulvaria subbifurcata,1,44,587,8598,2394772,5211302,NA,NA,Ulvaria subbifurcata
Animalia,Chordata,Salmoniformes,Salmonidae,Salmo,Salmo salar,Salmo salar,1,44,1313,8615,2347608,7595433,NA,NA,Salmo salar
Animalia,Chordata,Scorpaeniformes,Cottidae,Enophrys,Enophrys bison,Enophrys bison,1,44,590,8621,2333763,5201188,NA,NA,Enophrys bison
Animalia,Chordata,Scorpaeniformes,Agonidae,Odontopyxis,Odontopyxis trispinosa,Odontopyxis trispinosa,1,44,590,8617,2337271,2337272,NA,NA,Odontopyxis trispinosa
