row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
tdna051-Rep1-MiFish-E_S222_L001_R1_001.fastq.gz	104620	98464	98288	97404	95977	95770	95029	0.215676672536119	0.773728725070484	90.8325367998471
tdna051-Rep2-MiFish-E_S278_L001_R1_001.fastq.gz	116682	109746	109582	108391	106482	106344	104143	0.129599368907421	2.06969833747085	89.2536980853945
tdna051-Rep3-MiFish-E_S334_L001_R1_001.fastq.gz	156141	145119	144892	143273	141531	141241	138307	0.204902106252334	2.07730050056287	88.5782722026886
tdna052-Rep1-MiFish-E_S223_L001_R1_001.fastq.gz	181664	172999	172781	171103	168649	168267	162711	0.22650593836903	3.30189520226783	89.56700281839
tdna052-Rep2-MiFish-E_S279_L001_R1_001.fastq.gz	131439	124695	124551	123217	121917	121305	116307	0.501980855828137	4.12019290218871	88.4874352361171
tdna052-Rep3-MiFish-E_S335_L001_R1_001.fastq.gz	113918	106149	105983	104745	103578	103399	101390	0.172816621290238	1.94295882938906	89.002615916712
tdna053-Rep1-MiFish-E_S224_L001_R1_001.fastq.gz	94637	88233	88020	86497	84392	84331	78935	0.072281732865676	6.39859600858522	83.4081807326944
tdna053-Rep2-MiFish-E_S280_L001_R1_001.fastq.gz	37358	35327	35264	34886	34731	34704	33818	0.0777403472402227	2.55301982480405	90.5241179934686
tdna053-Rep3-MiFish-E_S336_L001_R1_001.fastq.gz	50527	47551	47477	46663	46065	46056	44842	0.0195376098990607	2.63592148688552	88.7485898628456
tdna054-Rep1-MiFish-E_S225_L001_R1_001.fastq.gz	346234	329584	329054	326080	317776	316157	306894	0.509478374704202	2.92987344895099	88.6377421050504
tdna054-Rep2-MiFish-E_S281_L001_R1_001.fastq.gz	137301	131084	130734	129952	127575	127147	123759	0.335488928081517	2.66463227602696	90.1369982738655
tdna054-Rep3-MiFish-E_S337_L001_R1_001.fastq.gz	98715	93286	93072	92187	89089	88728	86709	0.405212764763334	2.27549364349473	87.8377146330345
tdna055-Rep1-MiFish-E_S226_L001_R1_001.fastq.gz	58398	53524	53399	52508	52332	52326	51685	0.0114652602614171	1.22501242212284	88.5047433131272
tdna055-Rep2-MiFish-E_S282_L001_R1_001.fastq.gz	112728	106825	106699	105368	103026	102959	100176	0.0650321278123869	2.70301770607718	88.8652331275282
tdna055-Rep3-MiFish-E_S338_L001_R1_001.fastq.gz	212564	201038	200802	198389	197453	197300	194370	0.0774867943257362	1.48504815002535	91.4406955081764
tdna056-Rep1-MiFish-E_S227_L001_R1_001.fastq.gz	179735	169799	169450	167793	164085	163849	161366	0.14382789407928	1.51541968519795	89.779953820903
tdna056-Rep2-MiFish-E_S283_L001_R1_001.fastq.gz	166381	159367	158790	157727	154463	154201	150543	0.169619908974965	2.37222845506838	90.4808842355798
tdna056-Rep3-MiFish-E_S339_L001_R1_001.fastq.gz	208830	198776	198264	196435	192330	191345	185153	0.512140591691363	3.23603961430922	88.6620696260116
tdna057-Rep1-MiFish-E_S228_L001_R1_001.fastq.gz	155243	146374	146127	144550	142177	141932	138678	0.172320417507748	2.29264718315814	89.3296316097988
tdna057-Rep2-MiFish-E_S284_L001_R1_001.fastq.gz	162581	154629	154092	152341	149168	148860	146998	0.206478601308589	1.25083971516861	90.4152391730891
tdna057-Rep3-MiFish-E_S340_L001_R1_001.fastq.gz	383322	360925	360465	355639	350347	347648	338521	0.770379081310807	2.6253566826215	88.3124370633567
